output_1,output_2,output_3,output_4,output_5,output_6,output_7,output_8,output_9,output_10,output_11,output_12,output_13,output_14,output_15,output_16,output_17,output_18,output_19,output_20,output_21,output_22,output_23,output_24,output_25,output_26,output_27,output_28,output_29,output_30,output_31,output_32,output_33
1.0,0.9856531561068838,0.8963167455412671,0.8404581733880901,0.7828681138566188,0.7156010247380508,0.6798751591712467,0.4743750194939279,0.3863883351974628,0.3470536684005143,0.3395036954306153,0.32997810148908663,0.43385662781262796,0.5238313472856646,0.5445430772482982,0.5654291456979516,0.6338231582900408,0.657328552500749,0.9785907150937212,0.9163407277987194,0.8986632268007586,0.8679153821522866,0.8800875358274245,0.8588705997164643,0.8413630607269666,0.712833761601451,0.7091141762309972,0.6713186196744654,0.6599629986117094,0.6545149933662999,0.6497814784025293,0.6487555040916521,0.6484395968692901
1.0,0.9933738141752447,0.9492121752415931,0.924126093574644,0.8984121530128756,0.8679479958219942,0.839339264756952,0.7175816788013971,0.6465858654078093,0.5756392788438159,0.5642918619243759,0.5428277700638959,0.45827673125020335,0.42246709746142236,0.39802166026835034,0.36912056832792306,0.31711092453068285,0.29203485695064996,0.9864967799029262,0.9259146892983942,0.9117467636783675,0.8866757486703528,0.9370020165655017,0.9123396854128659,0.8913122627087355,0.8659099386872856,0.8631999618955999,0.7858854480167984,0.7769002908863892,0.773197552011922,0.7683236072450338,0.7672395282316486,0.7669020488816121
1.0,0.9926378318247141,0.9373678143892862,0.9087784656314106,0.8795560921377583,0.768677031100208,0.7262433973925639,0.5817815523645635,0.5117928174696942,0.46609587977218625,0.4601929512822285,0.44917294429131754,0.3857134817566792,0.3533845523672512,0.327075340073098,0.29867348961818946,0.22597811323815825,0.1996495289088589,0.9860777214035334,0.9284986096638497,0.911407485879889,0.8808269857169345,0.9228298699538087,0.8931757209646417,0.867326874855447,0.7648257745779966,0.7596042019180652,0.7931128231375582,0.775924900164694,0.7677874435473385,0.7521417947749724,0.7475021753548249,0.7429839415131372
1.0,0.9928481908546721,0.9466313710122574,0.9230516794713001,0.8989132238020777,0.7612817961431112,0.736838851777206,0.6263361307275417,0.5631089174712852,0.5004976159090933,0.49020765102749303,0.4708736838399411,0.3865693773090836,0.3540750298620155,0.3247763023723593,0.29074437539967,0.2442147448296229,0.2239805114338968,0.9846692901601023,0.9124484058380753,0.8918711034743634,0.8655017280867413,0.9337840523508496,0.9077856138905748,0.8854794394858577,0.7575720749780217,0.7525498086135591,0.6557058318493515,0.6399832728129737,0.6347985214501526,0.628717086376853,0.6273790053554531,0.6269643191887468
1.0,0.9903025864515601,0.926078344635421,0.888156924877001,0.8490957172346792,0.7330530099798177,0.6958122626061946,0.5211883595125396,0.4222277948749721,0.32767406516393954,0.31122813657985215,0.28044671290160267,0.18420387181887246,0.18100542049355628,0.18361483217775978,0.19472920730212048,0.27833206138208527,0.3139509072535409,0.9795047167243589,0.8841461128488061,0.8623215480015866,0.8244156684683488,0.9055522065895033,0.8643042036494117,0.827111794624618,0.7260486820980828,0.7164167517177128,0.6912236698147379,0.6627938810959297,0.6470757688676417,0.6214077918759477,0.6201405868786548,0.6197486743810043
1.0,0.9957633802230069,0.96400762577547,0.947779549274347,0.9313132129202691,0.887488867929729,0.8659717678057893,0.7960020572543363,0.7553497142677378,0.7148807298052676,0.7092596917726824,0.6986124937957883,0.639964095758761,0.6109948363778842,0.586022647624398,0.5577269449831405,0.4974288482785846,0.47151820736304867,0.9898848080964646,0.9383960733774614,0.9263095434646378,0.9073812949535028,0.956261914007145,0.9403775974426125,0.9281739546305966,0.8860675206402052,0.8842116480595797,0.8467604109593427,0.8399054459079496,0.8376096867192774,0.8330128306774576,0.8319609943070111,0.8316296812159089
1.0,0.9918329428834287,0.9327890220329281,0.9009212776232887,0.8682194297672091,0.8050470258780071,0.7624473915441413,0.6016323008999961,0.5244987427261688,0.44747046504646465,0.43619972158928916,0.4149847261575061,0.32948190182159376,0.28956746972518166,0.25399368758744845,0.21273988949421108,0.12302725935378205,0.08326630312874878,0.9820282622168377,0.8953575970247545,0.869650953997239,0.8236415193781593,0.9102744362586086,0.8640923245630906,0.821872291751933,0.7974048108665293,0.786857018428052,0.7631753723290947,0.7383620593760223,0.7261023479412292,0.7001716930755424,0.6934781968851532,0.6931183810930187
1.0,0.9887697239428488,0.9377331693250456,0.8971999370464923,0.8569022980790825,0.7344215658856006,0.7532989217786141,0.7050296875318569,0.7241160048834262,0.7752821212775546,0.7790489636370311,0.7885645023933937,0.9327248912676646,1.027489688668766,1.1028270601442718,1.187002101099864,1.2942550069062921,1.3294823944960912,0.9788270724964553,0.8912914868112204,0.86854368695299,0.8303023559843823,0.9153635955635077,0.8743181710797931,0.8375802367290675,0.7288084123691665,0.7211280900693953,0.6855899273014232,0.6666241041684037,0.6548353098908697,0.6432220770927223,0.6407832898095768,0.6405206798113393
1.0,0.99458731615088,0.9601459611028749,0.9392559936706756,0.9179150529437765,0.8731333718051726,0.8543097154624372,0.7788373320481592,0.7374221232862175,0.6963429042337925,0.6896696434837691,0.6780616396558146,0.6257175564046287,0.603925885232256,0.5841326424455318,0.5608790795594306,0.5160009323487073,0.4947141425389735,0.9894235507018181,0.9442432104466615,0.931124464848542,0.9105669953997634,0.9504307311802596,0.9308841406947177,0.9149071232944452,0.8706953439351082,0.8674312083916326,0.8640573810892821,0.8537667518694133,0.8490391400450225,0.8445160945472948,0.8435210382587747,0.8432127100957498
1.0,0.9889136732042971,0.9175051886903177,0.8741870390945496,0.8303165950323497,0.6692053592905972,0.6328372019230646,0.4441787034031068,0.3543159497911993,0.2763875321977407,0.2623418219235041,0.2370854528916187,0.20512142259688212,0.2365356570323014,0.24278114302917694,0.2559914021235628,0.31637689364682364,0.34054205537631593,0.978661979080827,0.8880874288057186,0.8627031780977171,0.8190829496118188,0.8930617740426889,0.8442482559323085,0.799858953673313,0.6605612472924082,0.6529715648424335,0.5852938673288671,0.5626115375488787,0.5506386655293802,0.5332421903432244,0.5285260521272307,0.5280832264927919
1.0,0.9921234728984354,0.9439182272802666,0.9148340120909542,0.884968836072906,0.885687243786014,0.8589347473050971,0.7278240339176004,0.6525622351826789,0.578516929185961,0.5657336729891222,0.5416172723818191,0.44463979458917574,0.4122969147052404,0.38148992300798895,0.356265020007377,0.3311645149710862,0.31786413689158377,0.9845411821380103,0.9176483888963951,0.9004944979310133,0.8705592020546027,0.9281923871180262,0.8966803105033916,0.8689608489935043,0.8806641571140265,0.8737761193990692,0.8405554070372262,0.8200872845763502,0.8089359999030434,0.804347138673686,0.8033393629075825,0.8030273249454929
1.0,0.9929601280924634,0.963613253604936,0.9380718406523283,0.912643063288472,0.9573212264003189,0.967685206877275,0.9086294991515754,0.8900342571422654,0.8833410722536985,0.8784900862098461,0.87128639103413,0.8923016397351671,0.9222832684263644,0.9293455057314833,0.9350778277440681,0.9754063237474372,0.9697433559144397,0.9880923770259968,0.9455390666593478,0.9332656326507808,0.9117263552958673,0.9529790557739822,0.9318055289916376,0.9168913904953256,0.9550374714496118,0.9519739067013469,0.8737417449467753,0.8644676190459248,0.8600611208696927,0.8560497648930014,0.8551925070776873,0.8549301860674768
1.0,0.9877042657796652,0.9246772977540534,0.8789231136167776,0.8327180828853703,0.6705330630745628,0.6753674315862855,0.5908147141278705,0.589286973876319,0.6240077240419718,0.6258567830331634,0.6320164609484523,0.7612999710737575,0.8492345617250207,0.9189003728794618,0.9964911220353064,1.0865190912187954,1.1136463943445132,0.981498488284049,0.9269765315032202,0.9110878324014403,0.8829792400174945,0.9108500173834576,0.8830737469772324,0.8589760857332094,0.6664471946253588,0.6608963128282778,0.5896320180705434,0.574053663451202,0.5657693464724116,0.5570316837330084,0.5552749691607483,0.5544255920668725
1.0,0.9940414318836207,0.963828505191348,0.9448699977636511,0.9257679365660219,0.8476757918004885,0.8440450605234655,0.7801099733481737,0.7465176914072356,0.713012307994476,0.7057715011583101,0.6918477424146516,0.6482441160482771,0.6389900635369581,0.6254436121612694,0.6078239380299666,0.6045237675293378,0.5944750719664976,0.9832988671303294,0.8890728926280504,0.8641349294000609,0.8232745861228609,0.9375220807628017,0.8944458046129311,0.8561484265812377,0.8401077486913658,0.8297636467287843,0.8546077901610645,0.8276299888606525,0.8204007186488038,0.8141550790739701,0.8128317621247854,0.8124282568267395
